,temp,feelslike,dew,humidity,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,uvindex,rain,precip_lag_1,precip_lag_2,precip_lag_3,precip_lag_4,precip_lag_5,precip_lag_6,precip_lag_7,rolling_mean_7,rolling_std_7,predicted_precip
2024-01-01,27.183566492209042,29.801237175210755,24.757124747009247,86.61246897290424,4.800560693389878,12.573105764990837,15.824133684460149,275.88960717780213,1010.931096806831,52.578710555516174,9.13913315258043,8.230965918784802,0.7891946494746337,1.4714822090431807,0.8853309786216661,0.7575525191715808,1.224236242890853,0.7560813003150365,1.1121351959619912,1.1863536973006754,1.1198042243889423,1.3848163920206098,0.5636244780678346
2024-01-02,27.31659543866721,29.877594223617205,24.68785621378437,85.47393721139471,4.483667110360772,12.914274633356419,15.324534624052767,269.5927531402681,1010.8907921980611,52.578710555516174,9.089735587635701,8.321396226781625,0.6521520201406824,1.11524102704506,0.9709998389726588,0.93941031682544,1.052566795105405,0.9391695631895302,1.0251582905611747,1.0418061574747777,1.1900396969219642,1.3848163920206098,2.4138283942244083
2024-01-03,27.30140235722396,29.8690979869783,24.699751508005377,85.62453243181331,4.417422428961452,12.989665234939956,15.463109486272602,269.98772045632495,1010.8659382867254,52.578710555516174,9.109512135505758,8.295034406318244,0.704601349483581,1.2055261897731722,0.9492950483643402,0.8933432910960323,1.0959378331656837,0.8929186728772244,1.0471480699201436,1.0783233004895176,1.2673704380231257,1.3848163920206098,6.1074798202388205
2024-01-04,27.394597870540583,29.92280245016892,24.660040619208207,84.8780279975904,4.1399153588760615,13.292501748767217,15.26392459286388,264.8014459292062,1010.8168493686823,52.578710555516174,9.088845584558422,8.332526840066043,0.6646836735390528,1.051495339076167,0.986346707510629,0.9720082029111504,1.0215093670990905,0.9723053077559967,1.0094619235862847,1.0156511378933617,1.3911317252454527,1.3848163920206098,23.887131525274715
2024-01-05,27.456859595342916,29.95857985211155,24.64078805473356,84.4277471829867,3.9680394831337065,13.481615306472614,15.23048472190103,260.59109156067774,1010.7913081255638,52.578710555516174,9.090342217528189,8.343241123295694,0.6744184383280175,1.0145764433389515,0.9952364942974822,0.9908924746326365,1.003492333751325,0.9915291148642399,1.0003595733401027,1.0004777081152822,1.4475240965109315,1.3848163920206098,33.843
2024-01-06,27.499245376699772,29.98241441657262,24.631454059699,84.15614422564961,3.9680394831337065,13.481615306472614,15.224870716988933,257.17301490162475,1010.8102817807953,52.578710555516174,9.082540680566813,8.353348428774607,0.6760697252481256,1.0057275351086348,0.997369416572398,0.995425826418361,0.9991309179139485,0.9961842405072311,0.9981610789843737,0.9968040999024325,1.3709962455040197,1.3848163920206098,19.92104151762395
2024-01-07,27.528475483439767,29.998292776436756,24.626928768358216,83.9923172002873,3.9680394831337065,13.481615306472614,15.223928217803214,254.39813017113897,1010.8221867676424,52.578710555516174,9.087811023420942,8.362883142563147,0.6758920521212012,1.0036065838909731,0.9978811675895946,0.9965141012915586,0.9980751420967339,0.9973114987360522,0.9976300757487863,0.9959146900920667,1.2713066716123673,1.3848163920206098,6.935548465067925
2024-01-08,27.54904411384186,30.008870788566444,24.6247348244314,83.89349907804662,3.9680394831337065,13.481615306472614,15.223769987675349,252.14540560245828,1010.8214891299527,52.578710555516174,9.081988026116226,8.371877702707687,0.6715772359638033,1.0030982235429375,0.9980039517654089,0.9967753521839695,0.9978195685358129,0.997584469051334,0.9975018223214033,0.9956993568924055,1.198331486387784,1.3848163920206098,2.8988042965438914
2024-01-09,27.563897315492355,30.01591775951138,24.62367116032857,83.83389339783862,3.9680394831337065,13.481615306472614,15.223743423436629,250.31658441699258,1010.8145793510115,52.578710555516174,9.087305643289838,8.380362709598094,0.6681471594957902,1.0029763771556641,0.9980334113137513,0.9968380679835037,0.9977577013818425,0.9976505699598216,0.9974708452189432,0.9956472230095362,1.1449118814013077,1.3848163920206098,1.3165826654399748
2024-01-10,27.574974224983166,30.02061238444563,24.623155476536564,83.79794010270916,3.9680394831337065,13.481615306472614,15.223738963737402,248.83189917188653,1010.8137040446983,52.578710555516174,9.082112986258274,8.388367030073276,0.6677828717362756,1.002947172395401,0.9980404795290387,0.9968531235168071,0.9977427250880249,0.997666576572476,0.9974633633067915,0.9956346009812225,1.1058074353059812,1.3848163920206098,0.5836624780916875
2024-01-11,27.583550232571856,30.023739898869266,24.622905463611772,83.77625358850186,3.9680394831337065,13.481615306472614,15.223738215027174,247.62659255440312,1010.8154826524907,52.578710555516174,9.087060819799477,8.39591789562907,0.6676540952614974,1.0029401724502975,0.9980421754025386,0.9968567377429626,0.9977390997495031,0.9976704526409678,0.9974615561975075,0.9956315450876273,1.077182032613292,1.3848163920206098,0.19863506303617084
2024-01-12,27.59046439364028,30.02582341919455,24.622784252777667,83.7631725928165,3.9680394831337065,13.481615306472614,15.223738089331027,246.64809287109446,1010.8168836479504,52.578710555516174,9.08230436491331,8.403040995062488,0.6678346841848279,1.0029384946679423,0.998042582292653,0.9968576053728526,0.9977382221572526,0.997671391247235,0.9974611197256675,0.9956308052314462,1.0562275437727868,1.3848163920206098,0.0
2024-01-13,27.596268763011835,30.027211440593593,24.62272548755057,83.75528232301635,3.9680394831337065,13.481615306472614,15.223738068228707,245.85372103545797,1010.8163532222319,52.578710555516174,9.08686219086666,8.40976056186757,0.6677762214396005,1.0029380925285551,0.9980426799176029,0.9968578136557861,0.9977380097169098,0.9976716185346853,0.9974610143044466,0.9956306261063714,1.040888349865867,1.3848163920206098,0.0
